"Scenario","Metric","Timestamp","Value","Job","Instance","AP","Radio","Band","Client","Service","State","Labels"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:24:15","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:24:20","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:24:25","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:24:30","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:24:35","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:24:40","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:24:45","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:24:50","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:24:55","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:25:00","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:25:05","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:25:10","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_scenario_info","04/07/2026 10:25:15","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"ap_failure","easymesh_sim_radio_utilization_percent","04/07/2026 10:24:15","30.1","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"ap_failure","easymesh_sim_radio_utilization_percent","04/07/2026 10:24:20","31.1","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"ap_failure","easymesh_sim_radio_utilization_percent","04/07/2026 10:24:25","28.2","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"ap_failure","easymesh_sim_radio_utilization_percent","04/07/2026 10:24:30","27.8","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"ap_failure","easymesh_sim_radio_utilization_percent","04/07/2026 10:24:35","28.6","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"ap_failure","easymesh_sim_radio_utilization_percent","04/07/2026 10:24:40","29.4","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"ap_failure","easymesh_sim_radio_utilization_percent","04/07/2026 10:24:45","32.6","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"ap_failure","easymesh_sim_radio_utilization_percent","04/07/2026 10:24:50","29.6","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"ap_failure","easymesh_sim_radio_utilization_percent","04/07/2026 10:24:55","31.9","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"ap_failure","easymesh_sim_radio_utilization_percent","04/07/2026 10:25:00","26.9","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
