"Scenario","Metric","Timestamp","Value","Job","Instance","AP","Radio","Band","Client","Service","State","Labels"
"roaming","easymesh_sim_scenario_info","04/07/2026 10:21:32","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","easymesh_sim_scenario_info","04/07/2026 10:21:37","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","easymesh_sim_scenario_info","04/07/2026 10:21:42","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","easymesh_sim_scenario_info","04/07/2026 10:21:47","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","easymesh_sim_scenario_info","04/07/2026 10:21:52","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","easymesh_sim_scenario_info","04/07/2026 10:21:57","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","easymesh_sim_scenario_info","04/07/2026 10:22:02","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","easymesh_sim_scenario_info","04/07/2026 10:22:07","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","easymesh_sim_scenario_info","04/07/2026 10:22:12","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","easymesh_sim_scenario_info","04/07/2026 10:22:17","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
