"Scenario","Metric","Timestamp","Value","Job","Instance","AP","Radio","Band","Client","Service","State","Labels"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:08","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:13","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:18","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:23","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:28","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:33","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:38","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:43","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:48","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:53","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:16:58","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:17:03","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_scenario_info","04/07/2026 10:17:08","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:08","40.3","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:13","44.3","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:18","40.2","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:23","41.5","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:28","42.9","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:33","41.8","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:38","44.8","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:43","43.1","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:48","44.5","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:53","30.3","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:58","32.6","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:17:03","30","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:17:08","34.6","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:08","35","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan2","5GHz","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:13","37.6","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan2","5GHz","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:18","35","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan2","5GHz","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:23","36.1","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan2","5GHz","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:28","34.6","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan2","5GHz","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:33","34.5","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan2","5GHz","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:38","36.7","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan2","5GHz","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"normal","easymesh_sim_radio_utilization_percent","04/07/2026 10:16:43","34.8","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan2","5GHz","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
