"Scenario","Categoria","Explicacion","Metric","Timestamp","Value","AP","Radio","Band","Channel","Client","Service","State","EventType","Reason","Labels"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:03","1","","","","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:08","1","","","","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:13","1","","","","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:18","1","","","","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:23","1","","","","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:28","1","","","","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:33","1","","","","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:38","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:43","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:48","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:53","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:52:58","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"coverage","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:53:03","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"coverage","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:52:38","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"coverage","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:52:43","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"coverage","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:52:48","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"coverage","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:52:53","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"coverage","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:52:58","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"coverage","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:53:03","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"coverage","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:52:03","1","","","","","","","","None","stable","instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=stable;result=NoEvent;type=None"
"coverage","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:52:08","1","","","","","","","","None","stable","instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=stable;result=NoEvent;type=None"
"coverage","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:52:13","1","","","","","","","","None","stable","instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=stable;result=NoEvent;type=None"
"coverage","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:52:18","1","","","","","","","","None","stable","instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=stable;result=NoEvent;type=None"
