"Scenario","Categoria","Explicacion","Metric","Timestamp","Value","AP","Radio","Band","Channel","Client","Service","State","EventType","Reason","Labels"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:53:25","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:53:30","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:53:35","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:53:40","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:53:45","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:53:50","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:53:55","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:54:00","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:54:05","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:54:10","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:54:15","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:54:20","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:54:25","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:53:25","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:53:30","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:53:35","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:53:40","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:53:45","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:53:50","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:53:55","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:54:00","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:54:05","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:54:10","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:54:15","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:54:20","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:54:25","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:25","66.8","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:30","63.1","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:35","66.9","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:40","67.1","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:45","63.3","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:50","63.7","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:55","66.8","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:54:00","63.9","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:54:05","64.7","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:54:10","64.3","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:54:15","61.9","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:54:20","67.1","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:54:25","66","AP_DORMITORIO","wlan0","2.4GHz","6","","","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:25","57.9","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:30","54.3","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:35","61.7","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:40","61.7","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:45","57.3","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:50","56.4","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:53:55","59.9","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:54:00","57.8","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:54:05","57.1","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:54:10","58.5","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
"interference","TelcoX/TR-181","Radio Utilization","easymesh_sim_radio_utilization_percent","04/07/2026 10:54:15","56.4","AP_DORMITORIO","wlan2","5GHz","149","","","","","","ap=AP_DORMITORIO;band=5GHz;channel=149;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan2;standard=802.11ac/ax"
