"Scenario","Categoria","Explicacion","Metric","Timestamp","Value","AP","Radio","Band","Channel","Client","Service","State","EventType","Reason","Labels"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:58:57","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:02","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:07","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:12","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:17","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:22","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:27","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:32","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:37","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:42","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:47","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:52","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:59:57","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"roaming","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:58:57","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"roaming","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:59:02","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"roaming","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:59:07","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"roaming","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:59:12","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"roaming","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:59:17","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"roaming","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:59:22","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
