"Scenario","Categoria","Explicacion","Metric","Timestamp","Value","AP","Radio","Band","Channel","Client","Service","State","EventType","Reason","Labels"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:54:48","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:54:53","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:54:58","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:55:03","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:55:08","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:55:13","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:55:18","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:55:23","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:55:28","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:55:33","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:55:38","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:55:43","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:55:48","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:54:48","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"saturation","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:54:53","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"saturation","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:54:58","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"saturation","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:55:03","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"saturation","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:55:08","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"saturation","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:55:13","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"saturation","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:55:18","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
"saturation","Control laboratorio","Evento EasyMesh simulado","easymesh_sim_event_info","04/07/2026 10:55:23","1","","","","","","","","HighUtilization","traffic load high","from_device=AP_SALON;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;reason=traffic load high;result=RadioSaturation;type=HighUtilization"
