Parameter,Object,Writable,Value,Value type
InternetGatewayDevice,true,false,,
InternetGatewayDevice.DeviceInfo,true,false,,
InternetGatewayDevice.X_SARA_EasyMesh,true,false,,
Device,true,false,,
Device.DeviceInfo,true,false,,
Device.WiFi,true,false,,
Device.WiFi.DataElements,true,false,,
Device.WiFi.DataElements.Network,true,false,,
Device.WiFi.AccessPoint,true,false,,
Device.Hosts,true,false,,
Device.Hosts.Host,true,false,,
Device.X_SARA_QoE,true,false,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,false,Sara-Lab,xsd:string
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,false,535241,xsd:string
InternetGatewayDevice.DeviceInfo.ProductClass,false,false,EasyMeshVirtualCPE,xsd:string
InternetGatewayDevice.DeviceInfo.SerialNumber,false,false,200001,xsd:string
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,false,EasyMeshNetworkSimulator-1.0,xsd:string
InternetGatewayDevice.DeviceInfo.UpTime,false,false,7252,xsd:unsignedInt
Device.DeviceInfo.Manufacturer,false,false,Sara-Lab,xsd:string
Device.DeviceInfo.ManufacturerOUI,false,false,535241,xsd:string
Device.DeviceInfo.ProductClass,false,false,EasyMeshVirtualCPE,xsd:string
Device.DeviceInfo.SerialNumber,false,false,200001,xsd:string
Device.DeviceInfo.SoftwareVersion,false,false,EasyMeshNetworkSimulator-1.0,xsd:string
Device.DeviceInfo.UpTime,false,false,7252,xsd:unsignedInt
Device.DeviceInfo.MemoryStatus,true,false,,
Device.DeviceInfo.MemoryStatus.Total,false,false,256,xsd:unsignedInt
Device.DeviceInfo.MemoryStatus.Free,false,false,129.5,xsd:unsignedInt
Device.DeviceInfo.ProcessStatus,true,false,,
Device.DeviceInfo.ProcessStatus.CPUUsage,false,false,32.9,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Profile,false,false,DynamicTelemetrySimulator,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.ScenarioId,false,false,saturation,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.ScenarioName,false,false,Trafico intensivo y saturacion de radio en el AP principal.,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.LastUpdateUTC,false,false,2026-07-01T07:49:22Z,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Source,false,false,easymesh_network_simulator_dynamic,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.ControllerStatus,false,false,Running,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.GatewayName,false,false,GW_MASTER,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.GatewayMac,false,false,06:8e:01:be:ef:29,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.RadioNumber,false,false,2,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Controller,true,false,,
InternetGatewayDevice.X_SARA_EasyMesh.Controller.Status,false,false,Running,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Controller.Name,false,false,GW_MASTER,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Controller.ALMAC,false,false,06:8e:01:be:ef:29,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Controller.IPv4Address,false,false,172.25.0.40,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Controller.AgentNumber,false,false,2,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Controller.TotalClientNumber,false,false,10,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Controller.LastTopologyUpdate,false,false,2026-07-01T07:49:22Z,xsd:string
Device.WiFi.DataElements.Network.Controller,true,false,,
Device.WiFi.DataElements.Network.Controller.ID,false,false,06:8e:01:be:ef:29,xsd:string
Device.WiFi.DataElements.Network.Controller.Name,false,false,GW_MASTER,xsd:string
Device.WiFi.DataElements.Network.Controller.Status,false,false,Running,xsd:string
Device.WiFi.DataElements.Network.Controller.AgentNumber,false,false,2,xsd:unsignedInt
Device.WiFi.DataElements.Network.Controller.TotalClientNumber,false,false,10,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device,true,false,,
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1,true,false,,
Device.WiFi.DataElements.Network.Device.1,true,false,,
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Name,false,false,AP_SALON,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Status,false,false,Online,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.ALMAC,false,false,AA:BB:CC:00:01:01,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.IPv4Address,false,false,172.25.0.41,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.BackhaulType,false,false,Ethernet,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.BackhaulMAC,false,false,AA:BB:CC:10:01:01,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.BackhaulRSSI,false,false,0.0,xsd:int
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.BackhaulRateMbps,false,false,1000.0,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.BackhaulLatencyMs,false,false,1.0,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.BackhaulPacketLossPercent,false,false,0.0,xsd:decimal
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.RadioNumber,false,false,2,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.ClientNumber,false,false,6,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Name,false,false,AP_SALON,xsd:string
Device.WiFi.DataElements.Network.Device.1.ID,false,false,AA:BB:CC:00:01:01,xsd:string
Device.WiFi.DataElements.Network.Device.1.Status,false,false,Online,xsd:string
Device.WiFi.DataElements.Network.Device.1.IPv4Address,false,false,172.25.0.41,xsd:string
Device.WiFi.DataElements.Network.Device.1.BackhaulType,false,false,Ethernet,xsd:string
Device.WiFi.DataElements.Network.Device.1.BackhaulMAC,false,false,AA:BB:CC:10:01:01,xsd:string
Device.WiFi.DataElements.Network.Device.1.BackhaulRSSI,false,false,0.0,xsd:int
Device.WiFi.DataElements.Network.Device.1.BackhaulRateMbps,false,false,1000.0,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.BackhaulLatencyMs,false,false,1.0,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.BackhaulPacketLossPercent,false,false,0.0,xsd:decimal
Device.WiFi.DataElements.Network.Device.1.RadioNumberOfEntries,false,false,2,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.STANumberOfEntries,false,false,6,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio,true,false,,
Device.WiFi.DataElements.Network.Device.1.Radio,true,false,,
