"timestamp_utc","scenario","metric","labels","value"
"2026-07-01T10:36:00Z","coverage","easymesh_simulator_up","","1"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_scenario_info","scenario=""coverage"",description=""El cliente se desplaza hasta zona de cobertura limite.""","1"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_device_cpu_usage_percent","","18.4"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_device_memory_free_mb","","150.1"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_agent_number","","2"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_total_client_number","","3"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_event_info","type=""None"",from_device="""",to_device="""",result=""NoEvent"",reason=""scenario changed""","1"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_steering_count_total","","0"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_ap_status","ap=""AP_SALON"",role=""gateway_agent""","1"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_backhaul_rssi_dbm","ap=""AP_SALON"",type=""Ethernet""","0.0"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_backhaul_rate_mbps","ap=""AP_SALON"",type=""Ethernet""","1000.0"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_backhaul_latency_ms","ap=""AP_SALON"",type=""Ethernet""","1.0"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_backhaul_packet_loss_percent","ap=""AP_SALON"",type=""Ethernet""","0.0"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_radio_utilization_percent","ap=""AP_SALON"",radio=""wlan0"",band=""2.4GHz"",channel=""1"",standard=""802.11n/ax""","40.8"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_radio_noise_dbm","ap=""AP_SALON"",radio=""wlan0"",band=""2.4GHz"",channel=""1"",standard=""802.11n/ax""","-92.8"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_radio_sta_count","ap=""AP_SALON"",radio=""wlan0"",band=""2.4GHz"",channel=""1"",standard=""802.11n/ax""","2"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_radio_bytes_sent","ap=""AP_SALON"",radio=""wlan0"",band=""2.4GHz"",channel=""1"",standard=""802.11n/ax""","59703626"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_radio_bytes_received","ap=""AP_SALON"",radio=""wlan0"",band=""2.4GHz"",channel=""1"",standard=""802.11n/ax""","83635916"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_radio_utilization_percent","ap=""AP_SALON"",radio=""wlan2"",band=""5GHz"",channel=""36"",standard=""802.11ac/ax""","32.2"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_radio_noise_dbm","ap=""AP_SALON"",radio=""wlan2"",band=""5GHz"",channel=""36"",standard=""802.11ac/ax""","-94.8"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_radio_sta_count","ap=""AP_SALON"",radio=""wlan2"",band=""5GHz"",channel=""36"",standard=""802.11ac/ax""","2"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_radio_bytes_sent","ap=""AP_SALON"",radio=""wlan2"",band=""5GHz"",channel=""36"",standard=""802.11ac/ax""","59827082"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_radio_bytes_received","ap=""AP_SALON"",radio=""wlan2"",band=""5GHz"",channel=""36"",standard=""802.11ac/ax""","83981594"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_signal_dbm","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","-47.9"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_snr_db","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","46.9"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_phy_rate_down_mbps","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","876.3"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_phy_rate_up_mbps","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","543.3"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_throughput_down_mbps","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","68.4"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_throughput_up_mbps","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","23.2"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_latency_ms","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","10.8"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_jitter_ms","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","3.6"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_packet_loss_percent","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","0"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_retry_rate_percent","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","3.7"
"2026-07-01T10:36:00Z","coverage","easymesh_sim_client_qoe_score","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video"",state=""Buena""","100"
