"timestamp_utc","scenario","metric","labels","value"
"2026-07-01T10:40:42Z","mixed","easymesh_simulator_up","","1"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_scenario_info","scenario=""mixed"",description=""Interferencia elevada en AP_SALON por canal solapado.""","1"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_device_cpu_usage_percent","","18.7"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_device_memory_free_mb","","146.5"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_agent_number","","2"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_total_client_number","","4"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_event_info","type=""ClientSteering"",from_device=""AP_DORMITORIO"",to_device=""AP_SALON"",result=""Success"",reason=""target RSSI -57.3 dBm vs current -70.8 dBm""","1"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_steering_count_total","","3"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_ap_status","ap=""AP_SALON"",role=""gateway_agent""","1"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_backhaul_rssi_dbm","ap=""AP_SALON"",type=""Ethernet""","0.0"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_backhaul_rate_mbps","ap=""AP_SALON"",type=""Ethernet""","1000.0"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_backhaul_latency_ms","ap=""AP_SALON"",type=""Ethernet""","1.0"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_backhaul_packet_loss_percent","ap=""AP_SALON"",type=""Ethernet""","0.0"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_radio_utilization_percent","ap=""AP_SALON"",radio=""wlan0"",band=""2.4GHz"",channel=""1"",standard=""802.11n/ax""","82.4"
"2026-07-01T10:40:42Z","mixed","easymesh_sim_radio_noise_dbm","ap=""AP_SALON"",radio=""wlan0"",band=""2.4GHz"",channel=""1"",standard=""802.11n/ax""","-77.1"
