Parameter,Object,Writable,Value,Value type
Device,true,false,,
Device.DeviceInfo,true,false,,
Device.WiFi,true,false,,
Device.WiFi.DataElements,true,false,,
Device.WiFi.DataElements.Network,true,false,,
Device.WiFi.AccessPoint,true,false,,
Device.Hosts,true,false,,
Device.Hosts.Host,true,false,,
Device.BulkData,true,false,,
Device.BulkData.Profile,true,false,,
Device.BulkData.Profile.1,true,false,,
Device.BulkData.Profile.1.HTTP,true,false,,
Device.BulkData.Profile.1.HTTP.RequestURIParameter,true,false,,
Device.BulkData.Profile.1.JSONEncoding,true,false,,
Device.BulkData.Profile.1.Parameter,true,false,,
Device.ManagementServer,true,false,,
Device.Firewall,true,false,,
Device.WiFi.SSID,true,false,,
Device.WiFi.Radio,true,false,,
Device.Ethernet,true,false,,
Device.Ethernet.Interface,true,false,,
Device.IP,true,false,,
Device.IP.Interface,true,false,,
Device.DeviceInfo.Manufacturer,false,false,Sara-Lab,xsd:string
Device.DeviceInfo.ManufacturerOUI,false,false,535241,xsd:string
Device.DeviceInfo.ProductClass,false,false,EasyMeshVirtualCPE,xsd:string
Device.DeviceInfo.SerialNumber,false,false,200001,xsd:string
Device.DeviceInfo.SoftwareVersion,false,false,EasyMeshNetworkSimulator-1.0,xsd:string
Device.DeviceInfo.UpTime,false,false,4729,xsd:unsignedInt
Device.DeviceInfo.MemoryStatus,true,false,,
Device.DeviceInfo.MemoryStatus.Total,false,false,256,xsd:unsignedInt
Device.DeviceInfo.MemoryStatus.Free,false,false,130.8,xsd:unsignedInt
Device.DeviceInfo.ProcessStatus,true,false,,
Device.DeviceInfo.ProcessStatus.CPUUsage,false,false,32.9,xsd:unsignedInt
Device.DeviceInfo.Description,false,false,EasyMesh telemetry simulator for QoE lab,xsd:string
Device.RootDataModelVersion,false,false,2.20,xsd:string
Device.DeviceInfo.HardwareVersion,false,false,virtual-1,xsd:string
Device.DeviceInfo.ModelName,false,false,EasyMeshVirtualCPE,xsd:string
Device.ManagementServer.ConnectionRequestURL,false,false,http://tr069-sim:7547/,xsd:string
Device.BulkData.Enable,false,false,true,xsd:boolean
Device.BulkData.ProfileNumberOfEntries,false,false,1,xsd:unsignedInt
Device.BulkData.Profile.1.Alias,false,false,StatusDeviceRadio,xsd:string
Device.BulkData.Profile.1.Name,false,false,StatusDeviceRadio,xsd:string
Device.BulkData.Profile.1.Enable,false,false,true,xsd:boolean
Device.BulkData.Profile.1.Protocol,false,false,HTTP,xsd:string
Device.BulkData.Profile.1.EncodingType,false,false,JSON,xsd:string
Device.BulkData.Profile.1.ReportingInterval,false,false,3600,xsd:unsignedInt
Device.BulkData.Profile.1.TimeReference,false,false,0001-01-01T00:00:00Z,xsd:dateTime
Device.BulkData.Profile.1.HTTP.Method,false,false,POST,xsd:string
Device.BulkData.Profile.1.HTTP.URL,false,false,http://collector.local/bulkdata,xsd:string
Device.BulkData.Profile.1.HTTP.UseDateHeader,false,false,true,xsd:boolean
Device.BulkData.Profile.1.HTTP.Username,false,false,,xsd:string
Device.BulkData.Profile.1.HTTP.Password,false,false,,xsd:string
Device.BulkData.Profile.1.HTTP.Compression,false,false,None,xsd:string
Device.BulkData.Profile.1.HTTP.CompressionsSupported,false,false,"None,GZIP",xsd:string
Device.BulkData.Profile.1.HTTP.MethodsSupported,false,false,POST,xsd:string
